CODI_DIVISIO_TERRITORIAL,BARRI,HOMES,DONES,TOTAL
B-01,Artigas,24,29,53
B-02,Bonavista,5,4,9
B-03,Bufalà,50,39,89
B-04,Can Claris,10,9,19
B-05,Canyadó,10,12,22
B-06,Canyet,5,2,7
B-07,Casagemes,32,27,59
B-08,Centre,31,29,60
B-09,Coll i Pujol,13,12,25
B-10,Congrés,13,9,22
B-11,Dalt de la Vila,13,17,30
B-12,El Remei,6,6,12
B-13,Gorg,35,23,58
B-14,La Mora,3,4,7
B-15,La Pau,18,22,40
B-16,La Salut,104,103,207
B-18,Lloreda,11,14,25
B-19,Manresà,3,0,3
B-20,Mas Ram,1,1,2
B-21,Montigalà,28,17,45
B-22,Morera,39,29,68
B-23,Nova Lloreda,33,25,58
B-24,Pomar,16,13,29
B-26,Progrés,55,50,105
B-27,Puigfred,34,37,71
B-28,Raval,34,27,61
B-29,Sant Antoni de Llefià,72,65,137
B-30,Sant Crist de Can Cabanyes,35,45,80
B-31,Sant Joan de Llefià,57,55,112
B-32,Sant Mori de Llefià,63,49,112
B-33,Sant Roc,72,66,138
B-34,Sistrells,20,20,40
