CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-01;Centre;20;21;41
B-02;Coll i Pujol;12;8;20
B-03;Dalt de la Vila;14;19;33
B-04;Gorg;38;29;67
B-05;Progrés;36;29;65
B-06;Raval;40;25;65
B-07;Can Claris;5;16;21
B-08;Canyet;2;0;2
B-09;Bufalà;52;40;92
B-10;Bonavista;3;8;11
B-11;Manresà;2;2;4
B-12;Canyadó;6;4;10
B-13;Casagemes;31;42;73
B-15;Pomar;17;14;31
B-16;Morera;35;16;51
B-17;Mas Ram;3;1;4
B-19;Sant Crist de Can Cabanyes;42;43;85
B-20;Nova Lloreda;19;27;46
B-21;Sistrells;21;21;42
B-22;La Salut;95;96;191
B-23;Lloreda;7;10;17
B-24;La Pau;29;23;52
B-25;Puigfred;21;18;39
B-27;Sant Joan de Llefià;54;54;108
B-28;Sant Antoni de Llefià;40;53;93
B-29;Sant Mori de Llefià;46;48;94
B-30;Artigas;33;25;58
B-31;Sant Roc;67;50;117
B-32;Congrés;15;14;29
B-33;El Remei;9;3;12
B-34;La Mora;3;7;10
B-35;Montigalà Oriental;12;11;23
B-36;Montigalà Occidental;6;3;9
B-DESCONEGUT;DESCONEGUT;17;19;36
