CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-01;Artigas;10;5;15
B-02;Bonavista;5;3;8
B-03;Bufalà;26;40;66
B-04;Can Claris;9;7;16
B-05;Canyadó;6;5;11
B-06;Canyet;2;6;8
B-07;Casagemes;18;24;42
B-08;Centre;32;32;64
B-09;Coll i Pujol;9;4;13
B-10;Congrés;12;16;28
B-11;Dalt de la Vila;12;12;24
B-12;El Remei;1;2;3
B-13;Gorg;13;10;23
B-14;La Mora;1;1;2
B-15;La Pau;16;4;20
B-16;La Salut;51;30;81
B-18;Lloreda;6;8;14
B-19;Manresà;2;2;4
B-20;Mas Ram;0;1;1
B-21;Montigalà;8;7;15
B-22;Morera;17;26;43
B-23;Nova Lloreda;21;25;46
B-24;Pomar;14;11;25
B-25;Pomar de Dalt;2;2;4
B-26;Progrés;30;21;51
B-27;Puigfred;14;17;31
B-28;Raval;36;14;50
B-29;Sant Antoni de Llefià;47;62;109
B-30;Sant Crist de Can Cabanyes;39;18;57
B-31;Sant Joan de Llefià;31;32;63
B-32;Sant Mori de Llefià;66;46;112
B-33;Sant Roc;41;28;69
B-34;Sistrells;17;21;38
