CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-DESCONEGUT;DESCONEGUT;17;8;25
B-01;Centre;33;38;71
B-02;Coll i Pujol;11;10;21
B-03;Dalt de la Vila;20;17;37
B-04;Gorg;18;19;37
B-05;Progrés;23;28;51
B-06;Raval;34;27;61
B-07;Can Claris;7;8;15
B-08;Canyet;1;4;5
B-09;Bufalà;46;47;93
B-10;Bonavista;5;4;9
B-11;Manresà;1;1;2
B-12;Canyadó;6;2;8
B-13;Casagemes;27;37;64
B-15;Pomar;25;24;49
B-16;Morera;23;22;45
B-17;Mas Ram;3;1;4
B-18;Pomar de Dalt;1;1;2
B-19;Sant Crist de Can Cabanyes;40;25;65
B-20;Nova Lloreda;32;13;45
B-21;Sistrells;15;12;27
B-22;La Salut;46;47;93
B-23;Lloreda;9;11;20
B-24;La Pau;17;10;27
B-25;Puigfred;18;33;51
B-27;Sant Joan de Llefià;36;21;57
B-28;Sant Antoni de Llefià;57;62;119
B-29;Sant Mori de Llefià;48;55;103
B-30;Artigas;15;7;22
B-31;Sant Roc;40;33;73
B-32;Congrés;20;9;29
B-33;El Remei;3;0;3
B-34;La Mora;2;0;2
B-35;Montigalà Oriental;9;5;14
B-36;Montigalà Occidental;0;1;1
