CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-01;Artigas;87;52;139
B-02;Bonavista;5;5;10
B-03;Bufalà;55;43;98
B-04;Can Claris;3;11;14
B-05;Canyadó;6;8;14
B-07;Casagemes;20;13;33
B-08;Centre;29;19;48
B-09;Coll i Pujol;5;7;12
B-10;Congrés;39;26;65
B-11;Dalt de la Vila;8;10;18
B-12;El Remei;10;17;27
B-13;Gorg;32;29;61
B-14;La Mora;3;1;4
B-15;La Pau;81;50;131
B-16;La Salut;355;183;538
B-18;Lloreda;18;16;34
B-19;Manresà;4;1;5
B-20;Mas Ram;0;1;1
B-21;Montigalà;9;11;20
B-22;Morera;12;14;26
B-23;Nova Lloreda;14;8;22
B-24;Pomar;11;7;18
B-26;Progrés;54;37;91
B-27;Puigfred;27;26;53
B-28;Raval;47;27;74
B-29;Sant Antoni de Llefià;116;70;186
B-30;Sant Crist de Can Cabanyes;71;50;121
B-31;Sant Joan de Llefià;128;80;208
B-32;Sant Mori de Llefià;127;80;207
B-33;Sant Roc;295;152;447
B-34;Sistrells;23;11;34
