CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-DESCONEGUT;DESCONEGUT;18;18;36
B-01;Centre;16;21;37
B-02;Coll i Pujol;10;5;15
B-03;Dalt de la Vila;9;10;19
B-04;Gorg;28;28;56
B-05;Progrés;31;29;60
B-06;Raval;60;42;102
B-07;Can Claris;13;10;23
B-08;Canyet;1;2;3
B-09;Bufalà;47;35;82
B-10;Bonavista;2;3;5
B-11;Manresà;3;3;6
B-12;Canyadó;5;4;9
B-13;Casagemes;26;24;50
B-15;Pomar;14;10;24
B-16;Morera;19;15;34
B-17;Mas Ram;2;1;3
B-18;Pomar de Dalt;1;0;1
B-19;Sant Crist de Can Cabanyes;75;55;130
B-20;Nova Lloreda;25;17;42
B-21;Sistrells;22;20;42
B-22;La Salut;277;146;423
B-23;Lloreda;14;13;27
B-24;La Pau;53;46;99
B-25;Puigfred;40;34;74
B-27;Sant Joan de Llefià;110;56;166
B-28;Sant Antoni de Llefià;126;89;215
B-29;Sant Mori de Llefià;99;63;162
B-30;Artigas;65;48;113
B-31;Sant Roc;230;119;349
B-32;Congrés;33;21;54
B-33;El Remei;4;6;10
B-34;La Mora;2;2;4
B-35;Montigalà Oriental;11;10;21
B-36;Montigalà Occidental;8;5;13
