CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-DESCONEGUT;DESCONEGUT;83;83;166
B-01;Centre;177;189;366
B-02;Coll i Pujol;59;59;118
B-03;Dalt de la Vila;114;130;244
B-04;Gorg;192;183;375
B-05;Progrés;231;257;488
B-06;Raval;172;208;380
B-07;Can Claris;30;40;70
B-08;Canyet;12;9;21
B-09;Bufalà;288;328;616
B-10;Bonavista;13;12;25
B-11;Manresà;9;5;14
B-12;Canyadó;42;42;84
B-13;Casagemes;152;197;349
B-15;Pomar;77;73;150
B-16;Morera;128;130;258
B-17;Mas Ram;13;11;24
B-19;Sant Crist de Can Cabanyes;213;212;425
B-20;Nova Lloreda;149;149;298
B-21;Sistrells;94;98;192
B-22;La Salut;501;423;924
B-23;Lloreda;60;64;124
B-24;La Pau;101;95;196
B-25;Puigfred;76;67;143
B-27;Sant Joan de Llefià;222;204;426
B-28;Sant Antoni de Llefià;307;310;617
B-29;Sant Mori de Llefià;276;264;540
B-30;Artigas;99;93;192
B-31;Sant Roc;358;262;620
B-32;Congrés;74;65;139
B-33;El Remei;36;18;54
B-34;La Mora;22;23;45
B-35;Montigalà Oriental;65;65;130
B-36;Montigalà Occidental;18;23;41
