CODI_CARRER;CODI_CARRER_INE;SIGLA;NOM_OFICIAL;NOM_CURT;NRE_MIN;NRE_MAX
00005;0801500005;CARRE;Abat Escarré;ABAT ESCARRE;0;39
00010;0801500010;CARRE;Acàcia;ACACIA;1;12
09202;0801509202;CARRE;Acer;ACER;1;48
09944;0801509944;MOLL;Adossat;ADOSSAT;1;999
00040;0801500040;AVGDA;Àfrica;AFRICA;0;0
00045;0801500045;CARRE;Afrodita;AFRODITA;2;38
00050;0801500050;CARRE;Àgueda Mompel;AGUEDA MOMPEL;22;72
00060;0801500060;CARRE;Agustí Montal;AGUSTI MONTAL;1;9999
00130;0801500130;CARRE;Alacant;ALACANT;0;14
03960;0801503960;PSAJE;Albert Llanas;ALBERT LLANAS;1;19
00070;0801500070;CARRE;Alcalde de Móstoles;ALCALDE DE MOSTOLES;0;6
00080;0801500080;PL;Alcalde Manent;ALCALDE MANENT;0;1
09085;0801509085;CARRE;Alcalde Martínez Écija;ALCALDE MARTINEZ ECIJA;1;47
01560;0801501560;PL;Alcalde Xifré;ALCALDE XIFRE;1;41
00100;0801500100;CARRE;Alella;ALELLA;2;6
00105;0801500105;CARRE;Alemanya;ALEMANYA;1;77
00110;0801500110;CARRE;Alfons XII;ALFONS XII;1;799
00120;0801500120;AVGDA;Alfons XIII;ALFONS XIII;0;628
00140;0801500140;AVGDA;Almeria;ALMERIA;0;61
00150;0801500150;CARRE;Almogàvers;ALMOGAVERS;0;15
00160;0801500160;CARRE;Alps;ALPS;2;2
00170;0801500170;CARRE;Alzina;ALZINA;1;8
00180;0801500180;CARRE;Amadeu Vives;AMADEU VIVES;1;41
00190;0801500190;AVGDA;Amèrica;AMERICA;0;102
00200;0801500200;AVGDA;Ametllers;AMETLLERS;1;28
01523;0801501523;PL;Amistat;AMISTAT;0;0
00220;0801500220;CARRE;Ample;AMPLE;1;21
00240;0801500240;PL;Andes;ANDES;1;1
00250;0801500250;CARRE;Andrés Segovia;ANDRES SEGOVIA;1;43
00260;0801500260;CARRE;Aneto;ANETO;1;15
00270;0801500270;CARRE;Àngel Guimerà;ANGEL GUIMERA;1;148
00275;0801500275;CARRE;Anna Tugas;ANNA TUGAS;1;86
00280;0801500280;CARRE;Anselm Clavé;ANSELM CLAVE;1;83
00285;0801500285;CARRE;Anselm Turmeda;ANSELM TURMEDA;0;18
01100;0801501100;CTRA;Antiga de València;ANTIGA DE VALENCIA;2;109
00290;0801500290;CARRE;Antoni Bori;ANTONI BORI;1;120
00295;0801500295;PSAJE;Antoni Bori;ANTONI BORI;35;37
00300;0801500300;CARRE;Antoni Botey;ANTONI BOTEY;1;103
00310;0801500310;CARRE;Antoni Maura;ANTONI MAURA;1;30
00289;0801500289;PL;Antònia Boada i Ros;ANTONIA BOADA I ROS;0;0
09002;0801509002;PL;Antonio Machado;ANTONIO MACHADO;0;0
00320;0801500320;CARRE;Apenins;APENINS;0;64
00030;0801500030;CARRE;Aqüeducte;AQUEDUCTE;1;26
00330;0801500330;PL;Aragó;ARAGO;32;48
00340;0801500340;CARRE;Arboç;ARBOÇ;2;4
02110;0801502110;CARRE;Arbres;ARBRES;1;53
00350;0801500350;CARRE;Arenys de Mar;ARENYS DE MAR;1;11
00360;0801500360;CARRE;Argentona;ARGENTONA;1;10
00090;0801500090;CARRE;Aribau;ARIBAU;1;28
00370;0801500370;CARRE;Arnús;ARNUS;0;93
00380;0801500380;CARRE;Arquimedes;ARQUIMEDES;2;30
00385;0801500385;CARRE;Arquitecte Fradera;ARQUITECTE FRADERA;0;0
00390;0801500390;CARRE;Arquitecte Gaudí;ARQUITECTE GAUDI;1;12
00395;0801500395;CARRE;Àrtemis;ARTEMIS;1;47
03160;0801503160;PL;Artigues;ARTIGAS;1;17
00410;0801500410;CARRE;Àsia;ASIA;0;82
03830;0801503830;PL;Assemblea de Catalunya;ASSEMBLEA CATALUNYA;2;14
00415;0801500415;CARRE;Astronomia;ASTRONOMIA;1;32
00420;0801500420;CARRE;Astúries;ASTURIES;1;20
00425;0801500425;CARRE;Atena;ATENA;1;24
00430;0801500430;CARRE;Atlàntida;ATLANTIDA;1;80
00440;0801500440;PASEO;Atzavares;ATZAVARES;1;17
00450;0801500450;CARRE;Ausiàs Marc;AUSIAS MARC;61;123
00460;0801500460;CARRE;Austràlia;AUSTRALIA;0;18
02130;0801502130;CARRE;Autonomia;AUTONOMIA;1;42
00470;0801500470;CARRE;Azorín;AZORIN;1;10
00480;0801500480;PL;Azorín;AZORIN;0;0
01275;0801501275;CARRE;Babord;BABORD;1;11
00730;0801500730;PL;Bac de Roda;BAC DE RODA;1;14
00710;0801500710;AVGDA;Bac de Roda;BAC DE RODA;1;69
00500;0801500500;CARRE;Badajoz;BADAJOZ;1;20
00510;0801500510;PL;Badalona;BADALONA;0;7
00520;0801500520;CARRE;Bailèn;BAILEN;1;40
00521;0801500521;PSAJE;Bailen A;BAILEN A;15;17
00522;0801500522;PSAJE;Bailen B;BAILEN B;11;13
00523;0801500523;PSAJE;Bailen C;BAILEN C;7;9
00524;0801500524;PSAJE;Bailen D;BAILEN D;3;5
00530;0801500530;CARRE;Baldomer Galofre;BALDOMER GALOFRE;1;28
00540;0801500540;CARRE;Baldomer Solà;BALDOMER SOLA;1;215
00550;0801500550;PL;Balears;BALEARS;19;31
00560;0801500560;CARRE;Balmes;BALMES;1;91
01280;0801501280;CARRE;Banyoles;BANYOLES;0;13
00590;0801500590;PL;Barberà;BARBERA;0;14
00570;0801500570;CRO;Barberà;BARBERA;6;11
00580;0801500580;PSAJE;Barberà;BARBERA;0;11
00600;0801500600;CARRE;Barcelona;BARCELONA;1;50
06510;0801506510;PL;Baró de Maldà;BARO DE MALDA;0;9
06680;0801506680;CARRE;Batista i Roca;BATISTA I ROCA;1;17
00610;0801500610;CARRE;Batllòria;BATLLORIA;0;60
00620;0801500620;CARRE;Beethoven;BEETHOVEN;1;11
00625;0801500625;CARRE;Bèlgica;BELGICA;1;84
00630;0801500630;CARRE;Bellavista;BELLAVISTA;1;66
00650;0801500650;CARRE;Berga;BERGA;1;5
00660;0801500660;CARRE;Berlín;BERLIN;1;6
00655;0801500655;CARRE;Bernat Metge;BERNAT METGE;0;45
03840;0801503840;PL;Bisbe Jubany;BISBE JUBANY;0;0
06640;0801506640;AVGDA;Biscaia;BISCAIA;1;40
00670;0801500670;CARRE;Bogatell;BOGATELL;1;21
00675;0801500675;CARRE;Boix;BOIX;1;14
00680;0801500680;CARRE;Bolívia;BOLIVIA;0;0
00750;0801500750;PSAJE;Bonavista;BONAVISTA;1;21
00740;0801500740;CARRE;Bonavista;BONAVISTA;1;54
00690;0801500690;CAMI;Bosc;BOSC;1;31
04445;0801504445;CARRE;Bòsnia i Hercegovina;BOSNIA I HERCEGOVINA;0;0
00700;0801500700;CARRE;Brasil;BRASIL;0;0
09203;0801509203;CARRE;Bronze;BRONZE;1;48
00720;0801500720;CARRE;Bruc;BRUC;1;40
00760;0801500760;CARRE;Buenos Aires;BUENOS AIRES;1;20
00770;0801500770;AVGDA;Bufalà;BUFALA;1;78
00780;0801500780;CARRE;Burdeus;BURDEUS;1;16
08000;0801508000;;Ca l'Amigo;CA L'AMIGO;0;119
08020;0801508020;;Ca l'Arquer;CA L'ARQUER;0;20
08030;0801508030;;Ca l'Artiller;CA L'ARTILLER;0;81
08330;0801508330;;Ca l'Oliver;CA L'OLIVER;0;0
09010;0801509010;;Ca l'Oms;CA L'OMS;0;0
00800;0801500800;CARRE;Càceres;CACERES;1;40
00810;0801500810;CARRE;Cadaqués;CADAQUES;1;29
00820;0801500820;CARRE;Cadis;CADIS;1;30
08220;0801508220;;Cal Dimoni;CAL DIMONI;0;84
08250;0801508250;;Cal Geperut;CAL GEPERUT;0;82
00830;0801500830;CAMI;Cal Viudet;CAL VIUDET;0;0
00850;0801500850;CARRE;Calderón de la Barca;CALDERON DE LA BARCA;1;142
00860;0801500860;CARRE;Calella;CALELLA;1;19
04620;0801504620;CARRE;Camèlia;CAMELIA;1;71
00875;0801500875;CARRE;Camí dels Xiprers;CAMI DELS XIPRERS;0;0
00880;0801500880;PSAJE;Camí Estret;CAMI ESTRET;1;1
00895;0801500895;CARRE;Campoamor;CAMPOAMOR;0;45
00900;0801500900;CARRE;Camprodon;CAMPRODON;1;55
08040;0801508040;;Can Barbeta;CAN BARBETA;0;74
09012;0801509012;;Can Bosca;CAN BOSCA;0;0
08080;0801508080;;Can Butinya;CAN BUTINYA;0;0
08100;0801508100;;Can Cabra;CAN CABRA;0;22
08110;0801508110;;Can Camas;CAN CAMAS;0;76
00915;0801500915;CAMI;Can Campmany;CAN CAMPMANY;0;10
08120;0801508120;;Can Campmany;CAN CAMPMANY;0;67
08140;0801508140;;Can Cervera;CAN CERVERA;0;120
08160;0801508160;;Can Coll;CAN COLL;0;73
08180;0801508180;;Can Colomer;CAN COLOMER;0;12
08170;0801508170;;Can Comes;CAN COMES;0;0
08175;0801508175;;Can Costa;CAN COSTA;0;118
08200;0801508200;;Can Devesa;CAN DEVESA;0;0
08210;0801508210;;Can Devesa (vell);CAN DEVESA (VELL);0;0
08230;0801508230;;Can Ferrater;CAN FERRATER;0;46
08240;0801508240;;Can Grapa;CAN GRAPA;0;99
00910;0801500910;CARRE;Can Llagosta;CAN LLAGOSTA;1;9999
08260;0801508260;;Can Mas;CAN MAS;0;0
08290;0801508290;;Can Miravitges;CAN MIRAVITGES;0;16
08300;0801508300;;Can Mora;CAN MORA;0;129
08305;0801508305;ZONA;Can Mora-Monestir Sant Jeroni;CAN MORA-MONESTIR SANT JERONI;0;0
08337;0801508337;;Can Nadal;CAN NADAL;0;104
08340;0801508340;;Can Perrot;CAN PERROT;0;0
08360;0801508360;;Can Pontons;CAN PONTONS;0;7
09035;0801509035;;Can Rafaller;CAN RAFALLER;0;0
09030;0801509030;;Can Ribo;CAN RIBO;0;0
09014;0801509014;;Can Ros;CAN ROS;0;102
09018;0801509018;CAMI;Can Ruti;CAN RUTI;1;17
00925;0801500925;;Can Ruti;CAN RUTI;0;0
08364;0801508364;CTRA;Can Ruti;CAN RUTI;0;0
08390;0801508390;;Can Sabata;CAN SABATA;0;78
08395;0801508395;;Can Savoia;CAN SAVOIA;0;0
00930;0801500930;CARRE;Can Tiano;CAN TIANO;0;67
08400;0801508400;;Can Tiano;CAN TIANO;0;0
09001;0801509001;;Can Trencalos;CAN TRENCALOS;0;0
08410;0801508410;;Can Trons;CAN TRONS;0;0
08420;0801508420;;Can Vestit;CAN VESTIT;0;0
00940;0801500940;PL;Canàries;CANARIES;15;22
00950;0801500950;CARRE;Canelones;CANELONES;1;30
00960;0801500960;CARRE;Canigó;CANIGO;1;30
00970;0801500970;CARRE;Canonge Baranera;CANONGE BARANERA;1;139
00972;0801500972;CARRE;Cantàbria;CANTABRIA;1;20
00980;0801500980;RIERA;Canyadó;CANYADO;0;25
01000;0801501000;CTRA;Canyet;CANYET;0;181
01010;0801501010;RIERA;Canyet;CANYET;0;45
09942;0801509942;MOLL;Capitania;CAPITANIA;1;999
01015;0801501015;ZONA;Caravana-Conreria;CARAVANA-CONRERIA;0;0
01030;0801501030;CARRE;Cardenal Cisneros;CARDENAL CISNEROS;1;21
01830;0801501830;AVGDA;Cardenal Vidal i Barraquer;CNAL VIDAL BARRAQUER;0;35
01050;0801501050;CARRE;Caritat;CARITAT;1;67
01060;0801501060;AVGDA;Caritg;CARITG;0;145
01070;0801501070;AVGDA;Carlemany;CARLEMANY;0;34
01080;0801501080;CARRE;Carles I;CARLES I;1;75
01090;0801501090;CARRE;Carme;CARME;1;84
01095;0801501095;CARRE;Carme Amaya;CARMEN AMAYA;1;18
04955;0801504955;ZONA;Carrer Palamos;CARRER PALAMOS;0;0
04700;0801504700;PL;Casagemes;CASAGEMAS;1;20
01120;0801501120;CARRE;Casas i Amigó;CASAS I AMIGO;1;92
01130;0801501130;AVGDA;Castanyers;CASTANYERS;1;23
08480;0801508480;;Castell de Gotmar;CASTELL DE GOTMAR;0;0
01140;0801501140;PL;Castella;CASTELLA;0;0
01150;0801501150;CARRE;Castillejos;CASTILLEJOS;1;32
00490;0801500490;CARRE;Catalònia;CATALONIA;0;13
01160;0801501160;AVGDA;Catalunya;CATALUNYA;1;91
01210;0801501210;CARRE;Centelles;CENTELLES;1;16
09201;0801509201;CARRE;Ceràmica;CERAMICA;0;47
01215;0801501215;AVGDA;Cerdanya;CERDANYA;0;101
01230;0801501230;CARRE;Cervantes;CERVANTES;0;292
01240;0801501240;CARRE;Cervereta;CERVERETA;0;21
01510;0801501510;CARRE;Chopin;CHOPIN;1;29
01245;0801501245;PL;Churruca;CHURRUCA;0;0
01250;0801501250;CARRE;Cid Campeador;CID CAMPEADOR;1;26
01255;0801501255;CARRE;Ciència;CIENCIA;0;15
01260;0801501260;CARRE;Circumval·lació;CIRCUMVAL·LACIO;2;148
01270;0801501270;CARRE;Cirerers;CIRERERS;1;7
09090;0801509090;PL;Ciutat de San Carlos de Nicaragua;C S CARLOS NICARAGUA;1;4
01290;0801501290;CARRE;Clavells;CLAVELLS;1;4
01310;0801501310;CARRE;Coll i Pujol;COLL I PUJOL;1;243
01300;0801501300;CARRE;Colom;COLOM;1;82
01325;0801501325;PSAJE;Comabona;COMA BONA;1;14
01330;0801501330;PSAJE;Comerç;COMERÇ;0;9999
01335;0801501335;AVGDA;Comunitat Europea;COMUNITAT EUROPEA;0;79
01340;0801501340;CARRE;Concha Espina;CONCHA ESPINA;1;27
01355;0801501355;CARRE;Concòrdia;CONCORDIA;0;6
01345;0801501345;AVGDA;Conflent;CONFLENT;0;47
01350;0801501350;AVGDA;Congrés Eucarístic;CONGRES EUCARISTIC;0;31
01360;0801501360;CARRE;Conquista;CONQUISTA;1;161
01370;0801501370;CTRA;Conreria;CONRERIA;0;0
09005;0801509005;RIERA;Conreria;CONRERIA;0;0
01380;0801501380;PL;Constitució;CONSTITUCIO;1;11
01525;0801501525;CARRE;Corders;CORDERS;1;28
01400;0801501400;CARRE;Còrdova;CORDOVA;1;37
01390;0801501390;CARRE;Còrsega;CORSEGA;0;60
01420;0801501420;CARRE;Cortijo;CORTIJO;1;13
01410;0801501410;CARRE;Corts;CORTS;0;43
01435;0801501435;CARRE;Cosidores;COSIDORES;0;0
01430;0801501430;CARRE;Costa;COSTA;1;52
01440;0801501440;CARRE;Covadonga;COVADONGA;0;16
01460;0801501460;CARRE;Creu;CREU;1;120
01470;0801501470;CARRE;Cuba;CUBA;1;65
01480;0801501480;PL;Cuba;CUBA;0;0
01490;0801501490;PSAJE;Cussó;CUSSO;0;0
01520;0801501520;CARRE;Dalt;DALT;1;53
02150;0801502150;CARRE;Democràcia;DEMOCRACIA;0;84
01540;0801501540;CARRE;Diagonal de la Costa Brava;DIAGONAL COSTA BRAVA;1;47
01535;0801501535;CARRE;Diana;DIANA;0;27
01545;0801501545;CARRE;Dinamarca;DINAMARCA;0;0
01530;0801501530;CARRE;Dipòsit;DIPOSIT;0;40
01580;0801501580;PL;Doctor Bassols;DOCTOR BASSOLS;0;0
01570;0801501570;AVGDA;Doctor Bassols;DOCTOR BASSOLS;0;180
01590;0801501590;CARRE;Doctor Daudí;DOCTOR DAUDI;0;25
01600;0801501600;CARRE;Doctor Ferran;DOCTOR FERRAN;1;12
01610;0801501610;PL;Doctor Fleming;DOCTOR FLEMING;0;16
00400;0801500400;CARRE;Doctor Modrego;DOCTOR MODREGO;0;37
06130;0801506130;CARRE;Doctor Robert;DOCTOR ROBERT;1;234
03780;0801503780;CARRE;Doctor Trueta;DOCTOR TRUETA;1;59
01640;0801501640;CARRE;Don Pelai;DON PELAYO;0;109
01645;0801501645;PSAJE;Dopla;DOPLA;1;19
01650;0801501650;CARRE;Dos de Maig;DOS DE MAIG;1;75
01595;0801501595;CARRE;Drac;DRAC;1;7
01660;0801501660;CARRE;Echegaray;ECHEGARAY;1;31
01670;0801501670;GRUP;Edificis de Sant Jordi;EDIFICIS SANT JORDI;0;0
01680;0801501680;CARRE;Eduard Flò;EDUARD FLO;0;3
01690;0801501690;CARRE;Eduard Maristany;EDUARD MARISTANY;0;434
01700;0801501700;CARRE;Eduard Marquina;EDUARD MARQUINA;0;51
02400;0801502400;CARRE;Eivissa;EIVISSA;1;32
09011;0801509011;;El Castellet;EL CASTELLET;0;0
01780;0801501780;CARRE;El Escorial;ESCORIAL;1;66
09204;0801509204;CARRE;Electrònica;ELECTRONICA;2;48
01710;0801501710;CARRE;Eliseu Meifrèn;ELISEU MEIFREN;1;50
01715;0801501715;CARRE;Elvis Presley;ELVIS PRESLEY;1;36
08450;0801508450;;Emissora r e eaj-15;EMISSORA R E EAJ-15;0;0
00210;0801500210;CARRE;Empordà;EMPORDA;1;52
03330;0801503330;PSAJE;Encants;ENCANTS;0;33
09205;0801509205;CARRE;Energia;ENERGIA;0;83
03275;0801503275;PL;Enginyer Deulofeu;ENGINYER DEULOFEU;0;0
03270;0801503270;CARRE;Enginyer Deulofeu;ENGINYER DEULOFEU;2;14
01720;0801501720;CARRE;Enric Borràs;ENRIC BORRAS;1;75
01730;0801501730;CARRE;Enric Granados;ENRIC GRANADOS;1;46
01740;0801501740;PL;Enric Morera;ENRIC MORERA;1;1
01760;0801501760;CARRE;Eres;ERES;1;9999
08430;0801508430;;Ermita Sant Climent;ERMITA SANT CLIMENT;0;0
08440;0801508440;;Ermita Sant Onofre;ERMITA SANT ONOFRE;0;0
02740;0801502740;CARRE;Escala;L'ESCALA;0;4
01770;0801501770;CARRE;Escales;ESCALES;1;10
01785;0801501785;CARRE;Escorxador;ESCORXADOR;0;7
01790;0801501790;CARRE;Escultor Clarà;ESCULTOR CLARA;36;85
04670;0801504670;CARRE;Escultor Juli González;ESCULTOR JULI GONZALEZ;1;12
01800;0801501800;CARRE;Escultor Llimona;ESCULTOR LLIMONA;1;39
03290;0801503290;CARRE;Escultor Manolo Hugué;ESC MANOLO HUGUE;1;57
01810;0801501810;CARRE;Escultor Salcillo;ESCULTOR SALCILLO;1;22
01820;0801501820;PL;Espanya;ESPANYA;0;0
01840;0801501840;CARRE;Estadi;ESTADI;1;32
01845;0801501845;CARRE;Estiu;ESTIU;1;37
01850;0801501850;CARRE;Estrella;ESTRELLA;1;113
01855;0801501855;CARRE;Estribord;ESTRIBORD;1;28
01865;0801501865;CARRE;Estrop;ESTROP;1;4
01860;0801501860;PL;Eucaliptus;EUCALIPTUS;0;4
01870;0801501870;CARRE;Europa;EUROPA;1;94
01880;0801501880;AVGDA;Extremadura;EXTREMADURA;31;31
03910;0801503910;CARRE;Federico García Lorca;FEDERICO GARCIA LORCA;1;30
01890;0801501890;CARRE;Felip II;FELIP II;1;65
01900;0801501900;PSAJE;Felip Pedrell;FELIP PEDRELL;1;9998
01040;0801501040;CARRE;Feliu i Vegués;FELIU I VEGUES;1;17
01895;0801501895;CARRE;Ferrater;FERRATER;31;44
09016;0801509016;;Ferrater;FERRATER;0;43
09017;0801509017;CAMI;Ferrater;FERRATER;0;46
01910;0801501910;AVGDA;Ferrater;FERRATER;2;7
01915;0801501915;CARRE;Ferrer Bassa;FERRER BASSA;1;30
01920;0801501920;CARRE;Figueres;FIGUERES;1;31
01905;0801501905;CARRE;Filosofia;FILOSOFIA;1;9998
01917;0801501917;CARRE;Física;FISICA;0;2
01940;0801501940;CARRE;Floridablanca;FLORIDABLANCA;1;50
01950;0801501950;CARRE;Fluvià;FLUVIA;0;67
01960;0801501960;CARRE;Fogars de Tordera;FOGARS DE TORDERA;0;47
02040;0801502040;PL;Font;FONT;0;15
02030;0801502030;CARRE;Font;FONT;1;9999
02045;0801502045;CAMI;Font de l'Amigó;FONT DE L'AMIGO;1;77
01980;0801501980;CARRE;Font i Escolà;FONT I ESCOLA;1;79
01985;0801501985;CARRE;Formentera;FORMENTERA;1;13
02000;0801502000;PSAJE;Fortuny;FORTUNY;1;9999
